,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
0,US20120039884A1,Compositions and methods for treating cardiovascular disease ,Revalesio Corporation,"Richard L. Watson, Anthony B. Wood, Gregory J. Archambeau",2010-08-13,2011-08-12,2012-02-16,,https://patents.google.com/patent/US20120039884A1/en
1,US20120185020A1,Nerve stimulation methods for averting imminent onset or episode of a disease ,"ElectroCore, LLC.","Bruce Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-01-24,2012-07-19,,https://patents.google.com/patent/US20120185020A1/en
2,US20120184801A1,Nerve stimulation methods for averting imminent onset or episode of a disease ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-01-24,2012-07-19,,https://patents.google.com/patent/US20120184801A1/en
3,US20120179055A1,Method and device for early detection of heart attack ,The Board Of Regents Of The University Of Texas System,"Lakshman S. Tamil, Mehrdad Nourani, Gopal Gupta, Subhash Banerjee",2010-12-07,2011-12-07,2012-07-12,,https://patents.google.com/patent/US20120179055A1/en
4,US20140073687A1,Efficient protein expression in vivo using modified rna (mod-rna) ,"Immune Disease Institute, Inc., The General Hospital Corporation","Kenneth R. Chien, Leon M. Ptaszek, Kathy Oi-Lan Lui, Lior Zangi, Wataru Ebina, Derrick J. Rossi",2011-04-03,2012-03-12,2014-03-13,,https://patents.google.com/patent/US20140073687A1/en
5,US8725311B1,Driver health and fatigue monitoring system and method ,"American Vehicular Sciences, LLC",David S Breed,2011-03-14,2012-03-14,2014-05-13,2014-05-13,https://patents.google.com/patent/US8725311B1/en
6,US20120158074A1,Fitted garment comprising heart monitoring with defibrillation capability ,"Medicine Hall Of America, Inc.",John Edward Hall,2010-12-20,2011-11-14,2012-06-21,,https://patents.google.com/patent/US20120158074A1/en
7,US20120330109A1,Health monitoring appliance ,Bao Tran,Bao Tran,2006-05-24,2011-12-26,2012-12-27,,https://patents.google.com/patent/US20120330109A1/en
8,US20130122011A1,Multiple-variable dose regimen for treating TNFa-related disorders ,"Rebecca S. Hoffman, Elliot K. Chartash, Lori K. Taylor, George R. Granneman, Philip Yan, Susan K. Paulson, Joanna Z. Peng","Rebecca S. Hoffman, Elliot K. Chartash, Lori K. Taylor, George R. Granneman, Philip Yan, Susan K. Paulson, Joanna Z. Peng",2004-04-09,2012-03-28,2013-05-16,,https://patents.google.com/patent/US20130122011A1/en
9,US8323188B2,Health monitoring appliance ,Bao Tran,Bao Tran,2006-05-16,2011-12-26,2012-12-04,2012-12-04,https://patents.google.com/patent/US8323188B2/en
10,US20120190958A1,"Signal transmitting and lesion excluding heart implants for pacing, defibrillating, and/or sensing of heart beat ",Bioventrix (A Chf Technologies' Company),"Lon S. Annest, Arthur A. Bertolero, David K. Swanson",2006-09-28,2012-01-24,2012-07-26,,https://patents.google.com/patent/US20120190958A1/en
11,US20140276090A1,Driver health and fatigue monitoring system and method using optics ,American Vehcular Sciences Llc,David S. Breed,2011-03-14,2014-05-12,2014-09-18,,https://patents.google.com/patent/US20140276090A1/en
12,US20130172691A1,Health monitoring appliance ,Bao Tran,Bao Tran,2006-05-16,2012-11-29,2013-07-04,,https://patents.google.com/patent/US20130172691A1/en
